2014-12-05 19:00:15,254 - root - INFO - Training....
2014-12-05 19:00:15,346 - gensim.models.word2vec - INFO - collecting all words and their counts
2014-12-05 19:00:15,346 - gensim.models.word2vec - INFO - PROGRESS: at sentence #0, processed 0 words and 0 word types
2014-12-05 19:00:15,467 - gensim.models.word2vec - INFO - PROGRESS: at sentence #10000, processed 191109 words and 51326 word types
2014-12-05 19:00:15,593 - gensim.models.word2vec - INFO - PROGRESS: at sentence #20000, processed 383287 words and 81316 word types
2014-12-05 19:00:15,706 - gensim.models.word2vec - INFO - PROGRESS: at sentence #30000, processed 573347 words and 105772 word types
2014-12-05 19:00:15,843 - gensim.models.word2vec - INFO - PROGRESS: at sentence #40000, processed 768700 words and 127377 word types
2014-12-05 19:00:15,952 - gensim.models.word2vec - INFO - PROGRESS: at sentence #50000, processed 960445 words and 146510 word types
2014-12-05 19:00:16,062 - gensim.models.word2vec - INFO - PROGRESS: at sentence #60000, processed 1156047 words and 164239 word types
2014-12-05 19:00:16,209 - gensim.models.word2vec - INFO - PROGRESS: at sentence #70000, processed 1349619 words and 181110 word types
2014-12-05 19:00:16,314 - gensim.models.word2vec - INFO - PROGRESS: at sentence #80000, processed 1540690 words and 196561 word types
2014-12-05 19:00:16,423 - gensim.models.word2vec - INFO - PROGRESS: at sentence #90000, processed 1733094 words and 210970 word types
2014-12-05 19:00:16,576 - gensim.models.word2vec - INFO - PROGRESS: at sentence #100000, processed 1925018 words and 225195 word types
2014-12-05 19:00:16,683 - gensim.models.word2vec - INFO - PROGRESS: at sentence #110000, processed 2116954 words and 239046 word types
2014-12-05 19:00:16,788 - gensim.models.word2vec - INFO - PROGRESS: at sentence #120000, processed 2310052 words and 252238 word types
2014-12-05 19:00:16,899 - gensim.models.word2vec - INFO - PROGRESS: at sentence #130000, processed 2503507 words and 264948 word types
2014-12-05 19:00:17,071 - gensim.models.word2vec - INFO - PROGRESS: at sentence #140000, processed 2698040 words and 276793 word types
2014-12-05 19:00:17,186 - gensim.models.word2vec - INFO - collected 288288 word types from a corpus of 2890458 words and 150000 sentences
2014-12-05 19:00:17,271 - gensim.models.word2vec - INFO - total 49711 word types after removing those with count<5
2014-12-05 19:00:17,271 - gensim.models.word2vec - INFO - constructing a huffman tree from 49711 words
2014-12-05 19:00:18,358 - gensim.models.word2vec - INFO - built huffman tree with maximum node depth 19
2014-12-05 19:00:18,388 - gensim.models.word2vec - INFO - resetting layer weights
2014-12-05 19:00:18,791 - gensim.models.word2vec - INFO - training model with 1 workers on 49711 vocabulary and 100 features, using 'skipgram'=1 'hierarchical softmax'=1 'subsample'=0 and 'negative sampling'=0
2014-12-05 19:00:18,809 - gensim.models.word2vec - DEBUG - putting job #0 in the queue, qsize=0
2014-12-05 19:00:18,810 - gensim.models.word2vec - DEBUG - putting job #1 in the queue, qsize=0
2014-12-05 19:00:18,812 - gensim.models.word2vec - DEBUG - putting job #2 in the queue, qsize=1
2014-12-05 19:00:18,813 - gensim.models.word2vec - DEBUG - putting job #3 in the queue, qsize=2
2014-12-05 19:00:18,825 - gensim.models.word2vec - DEBUG - putting job #4 in the queue, qsize=2
2014-12-05 19:00:18,838 - gensim.models.word2vec - DEBUG - putting job #5 in the queue, qsize=2
2014-12-05 19:00:18,849 - gensim.models.word2vec - DEBUG - putting job #6 in the queue, qsize=2
2014-12-05 19:00:18,859 - gensim.models.word2vec - DEBUG - putting job #7 in the queue, qsize=2
2014-12-05 19:00:18,871 - gensim.models.word2vec - DEBUG - putting job #8 in the queue, qsize=2
2014-12-05 19:00:18,881 - gensim.models.word2vec - DEBUG - putting job #9 in the queue, qsize=2
2014-12-05 19:00:18,896 - gensim.models.word2vec - DEBUG - putting job #10 in the queue, qsize=2
2014-12-05 19:00:18,917 - gensim.models.word2vec - DEBUG - putting job #11 in the queue, qsize=2
2014-12-05 19:00:18,931 - gensim.models.word2vec - DEBUG - putting job #12 in the queue, qsize=2
2014-12-05 19:00:18,946 - gensim.models.word2vec - DEBUG - putting job #13 in the queue, qsize=2
2014-12-05 19:00:18,957 - gensim.models.word2vec - DEBUG - putting job #14 in the queue, qsize=2
2014-12-05 19:00:18,971 - gensim.models.word2vec - DEBUG - putting job #15 in the queue, qsize=2
2014-12-05 19:00:18,981 - gensim.models.word2vec - DEBUG - putting job #16 in the queue, qsize=2
2014-12-05 19:00:18,992 - gensim.models.word2vec - DEBUG - putting job #17 in the queue, qsize=2
2014-12-05 19:00:19,003 - gensim.models.word2vec - DEBUG - putting job #18 in the queue, qsize=2
2014-12-05 19:00:19,018 - gensim.models.word2vec - DEBUG - putting job #19 in the queue, qsize=2
2014-12-05 19:00:19,030 - gensim.models.word2vec - DEBUG - putting job #20 in the queue, qsize=2
2014-12-05 19:00:19,040 - gensim.models.word2vec - DEBUG - putting job #21 in the queue, qsize=2
2014-12-05 19:00:19,049 - gensim.models.word2vec - DEBUG - putting job #22 in the queue, qsize=2
2014-12-05 19:00:19,059 - gensim.models.word2vec - DEBUG - putting job #23 in the queue, qsize=2
2014-12-05 19:00:19,071 - gensim.models.word2vec - DEBUG - putting job #24 in the queue, qsize=2
2014-12-05 19:00:19,083 - gensim.models.word2vec - DEBUG - putting job #25 in the queue, qsize=2
2014-12-05 19:00:19,095 - gensim.models.word2vec - DEBUG - putting job #26 in the queue, qsize=2
2014-12-05 19:00:19,106 - gensim.models.word2vec - DEBUG - putting job #27 in the queue, qsize=2
2014-12-05 19:00:19,120 - gensim.models.word2vec - DEBUG - putting job #28 in the queue, qsize=2
2014-12-05 19:00:19,132 - gensim.models.word2vec - DEBUG - putting job #29 in the queue, qsize=2
2014-12-05 19:00:19,141 - gensim.models.word2vec - DEBUG - putting job #30 in the queue, qsize=2
2014-12-05 19:00:19,151 - gensim.models.word2vec - DEBUG - putting job #31 in the queue, qsize=2
2014-12-05 19:00:19,165 - gensim.models.word2vec - DEBUG - putting job #32 in the queue, qsize=2
2014-12-05 19:00:19,175 - gensim.models.word2vec - DEBUG - putting job #33 in the queue, qsize=2
2014-12-05 19:00:19,188 - gensim.models.word2vec - DEBUG - putting job #34 in the queue, qsize=2
2014-12-05 19:00:19,200 - gensim.models.word2vec - DEBUG - putting job #35 in the queue, qsize=2
2014-12-05 19:00:19,214 - gensim.models.word2vec - DEBUG - putting job #36 in the queue, qsize=2
2014-12-05 19:00:19,226 - gensim.models.word2vec - DEBUG - putting job #37 in the queue, qsize=2
2014-12-05 19:00:19,239 - gensim.models.word2vec - DEBUG - putting job #38 in the queue, qsize=2
2014-12-05 19:00:19,253 - gensim.models.word2vec - DEBUG - putting job #39 in the queue, qsize=2
2014-12-05 19:00:19,268 - gensim.models.word2vec - DEBUG - putting job #40 in the queue, qsize=2
2014-12-05 19:00:19,282 - gensim.models.word2vec - DEBUG - putting job #41 in the queue, qsize=2
2014-12-05 19:00:19,298 - gensim.models.word2vec - DEBUG - putting job #42 in the queue, qsize=2
2014-12-05 19:00:19,310 - gensim.models.word2vec - DEBUG - putting job #43 in the queue, qsize=2
2014-12-05 19:00:19,321 - gensim.models.word2vec - DEBUG - putting job #44 in the queue, qsize=2
2014-12-05 19:00:19,331 - gensim.models.word2vec - DEBUG - putting job #45 in the queue, qsize=2
